document_id,question_id,question_status,answer_preview,found,has_error,validation_flags
danone_2024_report_6f79,Q0,completed,{'is_relevant': True; 'document_type': 'annual report with climate sections'; 'climate_sections': [',True,False,
danone_2024_report_6f79,Q1,completed,{'company_name': 'Danone'; 'report_title': 'Danone at a Glance'; 'publication_year': 2024; 'reportin,True,False,
danone_2024_report_6f79,Q2,completed,{'frameworks_referenced': ['TCFD'; 'GRI']; 'climate_sections': [{'section_name': 'Sustainability'; ',True,False,
danone_2024_report_6f79,Q3,completed,{'operations_coverage_pct': 'not found'; 'supply_chain_coverage_pct': 'not found'; 'geographies_cove,True,False,
danone_2024_report_6f79,Q5,completed,{'scenarios_used': []; 'temperature_pathways': []; 'time_horizons': []; 'methodology_described': Fal,True,False,
danone_2024_report_6f79,Q10,completed,{'materiality_assessment': {'methodology': 'not found'; 'criteria_used': []; 'material_risks_identif,True,False,
danone_2024_report_6f79,Q4,completed,{'hazards': []},True,False,
danone_2024_report_6f79,Q12,completed,{'location_specific_risks': []},True,False,
danone_2024_report_6f79,Q6,completed,{'vulnerable_assets': []},True,False,
danone_2024_report_6f79,Q7,completed,{'supply_chain_risks': []},True,False,
danone_2024_report_6f79,Q8,completed,{'identified_risks': []},True,False,
danone_2024_report_6f79,Q9,completed,{'vulnerabilities': []},True,False,
danone_2024_report_6f79,Q11,completed,{'cost_estimates': []},True,False,
danone_2024_report_6f79,Q18,completed,{'financial_disclosure': {'capex_disclosed': False; 'adaptation_investment_amount': ''; 'currency': ,True,False,
danone_2024_report_6f79,Q23,completed,{'financial_impact_disclosed': False; 'quantified_impacts': []; 'insurance_or_risk_transfer': {'desc,True,False,
danone_2024_report_6f79,Q13,completed,{'risk_adaptation_linkage': []; 'source_page': 0},True,False,
danone_2024_report_6f79,Q14,completed,{'implemented_measures': []; 'source_page': 0},True,False,
danone_2024_report_6f79,Q15,completed,{'resilience_programs': []; 'source_page': 0},True,False,
danone_2024_report_6f79,Q16,completed,{'nature_based_solutions': []; 'source_page': 0},True,False,
danone_2024_report_6f79,Q17,completed,{'innovation_initiatives': []; 'source_page': 0},True,False,
danone_2024_report_6f79,Q22,completed,{'adaptation_metrics': []; 'source_page': 0},True,False,
danone_2024_report_6f79,Q19,completed,{'board_oversight': {'responsible_committee': 'Not disclosed'; 'meeting_frequency': 'Not disclosed';,True,False,
danone_2024_report_6f79,Q20,completed,{'integration_areas': []; 'business_continuity_measures': 'Not disclosed'; 'procurement_or_sourcing_,True,False,
danone_2024_report_6f79,Q21,completed,{'stakeholders_engaged': []},True,False,
